date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:25	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:26%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/images/gradient/g30.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/images/gradient/g30.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:25	312164/312164	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2007%20Jan%202017%2014:56:19%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.js?1494834680852	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/pluginse134.js	(from https://auslogics.bizwebvietnam.net/)
13:53:25	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:26%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/images/gradient/g40.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/images/gradient/g40.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:26	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:27%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/shadow1.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/shadow1.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:26	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:27%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/shadow2.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/shadow2.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:27	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:28%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/shadow3.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/shadow3.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:27	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:28%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/gridtile.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/gridtile.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:28	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:29%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/gridtile_white.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/gridtile_white.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:28	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:29%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/gridtile_3x3.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/gridtile_3x3.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:29	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:30%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/gridtile_3x3_white.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/gridtile_3x3_white.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
13:53:29	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Fri,%2007%20Jul%202017%2006:53:31%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/boxed_bgtile.png	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/boxed_bgtile.png	(from http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852)
